,Artist,Event_link,Club,City,Date,Time,Followers,Tracks
76,"Algorithmic Art Assembly 2020: Richard Devine, Myriam Bleau, Yacht, Kindohm, Trash Panda Qc, Calum Gunn, Cndsd, Curtis Roads, Ellen Phan, Heavy Lifting, Lilium D Ayter, Shatter Pattern , Tom Hall, William Fields, {Arsonsist} ",https://aaassembly.org/, Gray Area ,San Francisco, Jun 26 ,12pm-12am,0,0
77,"Peekaboo: The Impossible Tour w/Zeke Beats, Isoxo ",https://www.facebook.com/pushthefeeling/events, The Regency Ballroom ,San Francisco, Jun 20 ,9pm,0,0
78,Ghostdragon w/ Dyln ,https://www.eventbrite.com/e/ghostdragon-live-set-plus-special-guest-dyln-tickets-88044045109, Cornerstone ,Berkeley, Jul 25 ,7pm-12am,0,0
79,Sunset Campout 2020 ,https://www.facebook.com/events/505020153446995/, Belden Town ,Belden, Jul 24-Mon: Jul 27 ,Fri: 12pm-Mon: 9am,0,0
80,Safra | Permission To Land w/ Facundo Mohrr and Friends ,https://www1.ticketmaster.com/san-holo-san-francisco-california-03-21-2020/event/1C00582AF8B9893D, The Midway ,San Francisco, Jul 19 ,2pm-9pm,0,0
81,"Wormhole: Conrank, Deez, Elevated Mind, Saka, Furth ",https://www.twitch.tv/wormholelive, Livestream ,Online, Jun 24 ,6pm-11pm,0,0
82,Northern Nights Music Festival 2020 ,https://www.facebook.com/Temple.Nightclub.SF/events, Cooks Valley Campground ,Piercy, Jul 17-Mon: Jul 20 ,Fri: 10am-Mon: 10am,0,0
83,Postponed: Artbat + Woralks ,https://grayarea.org/event/portico-quartet/, The San Francisco Mint ,San Francisco, Jul 14 ,2pm-8pm,0,0
84,Monster Energy Up & Up Festival Presents Troyboi ,https://www.facebook.com/mnmlfun/events, TBA ,San Jose, Sep 10 ,7:30pm-11:30pm,0,0
85,Chromeo DJ Set ,https://www.facebook.com/hiphopforchange/events, Fulton 55 ,Fresno, Jun 26 ,9pm-2am,0,0
