,Artist,Event_link,Club,City,Date,Time
86,"Goodie Mob: Cee-Lo Green, Big Gipp, Khujo & T-Mo ",Facebook Page, The New Parish ,Oakland, Sep 27 ,9pm-11:30pm
87,Marshmello Presents Joytime: Into The Melloverse Tour ,Facebook Page, Bill Graham Civic Auditorium ,San Francisco, Sep 29 ,7pm
88,Bottlerock 2020 ,Facebook Page, Bottlerock ,Napa Valley, Oct 2-Sun: Oct 4 ,Fri: 12pm-Sun: 10pm
89,[Rescheduled] Luigi Tozzi ,, F8 1192 Folsom ,San Francisco, Oct 2 ,9pm-4am
90,Robot Ears: Luigi Tozzi ,, F8 1192 Folsom ,San Francisco, Oct 2 ,9pm-4am
91,Camelphat ,Event Link, The Midway ,San Francisco, Oct 3 ,10pm-3am
92,Tomm- +A$H ,Facebook Page, The Independent ,San Francisco, Oct 5 ,8pm
93,Floating Points - Live ,, Gray Area ,San Francisco, Oct 7 ,9pm-12am
94,The Untz Festival 2020 ,Facebook Page, Sycamore Ranch ,Browns Valley, Oct 9-Mon: Oct 12 ,Fri: 4pm-Mon: 7am
95,Be Svendsen 'Man On The Run' Tour 2020 ,Event Link, 906 World Cultural Center ,San Francisco, Oct 9 ,7pm-11pm
96,"[Postponed] Satori, Geju & Niki Sadeki ",Facebook Page, Public Works ,San Francisco, Oct 10 ,9:30pm-3:30am
97,Kyary Pamyu Pamyu ,Facebook Page, The Regency Ballroom ,San Francisco, Oct 15 ,8pm
98,Snakehips ,, 1015 Folsom ,San Francisco, Oct 15 ,9pm-2am
99,"Kruder & Dorfmeister, DJ Kramer, Ben Seagren ***POSTPONED*** ",Event Link, The Midway ,San Francisco, Oct 15 ,9pm-3am
100,Einsturzende Neubauten - The Year Of The Rat Tour ,Facebook Page, The Fillmore ,San Francisco, Oct 16 ,8pm
101,Oshun #100K Tour ,Facebook Page, Brick And Mortar Music Hall ,San Francisco, Oct 23 ,8pm
102,Slander ,Facebook Page, Bill Graham Civic Auditorium ,San Francisco, Oct 30 ,8pm
103,Dan Deacon ,, The Fillmore ,San Francisco, Oct 31 ,9pm
104,Dan Deacon ,, Harlow's ,Sacramento, Nov 1 ,7pm
105,Bedouin & Einmusik ,, Public Works ,San Francisco, Nov 6 ,9pm-3:30am
106,"Jvna, Slumberjack ",, The Regency Ballroom ,San Francisco, Nov 14 ,9pm
107,San Holo ,, Bill Graham Civic Auditorium ,San Francisco, Nov 21 ,8pm
108,Squarepusher ,, The Regency Ballroom ,San Francisco, Dec 10 ,9pm
